country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TLS,46.8161,50.71393,,,,,29.77684,30.19877,31.35481,,,,,,27.65483,26.94886,
TON,21.71238,20.30012,20.30036,22.29079,25.4015,25.06316,24.58676,24.88626,24.12606,21.10539,25.74776,21.85806,21.63312,,,,
TTO,18.50138,17.51665,16.54586,,15.93954,17.15784,17.57943,,,,,,,,,,
TUN,21.53775,20.60639,19.98753,19.14138,18.15286,17.28071,16.97824,17.11543,17.35205,17.14983,17.43043,16.5447,15.79669,16.18367,16.57185,16.87168,
TUR,,,,,,,,,,20.13204,19.83354,19.32755,18.40513,,16.97782,,
TUV,17.92,19.23288,,,,,,,,,,,12.71795,17.19481,,15.57647,
TZA,56.89936,58.27379,55.85542,52.40834,53.08766,52.3892,53.70457,50.76274,,45.83178,43.44315,43.06031,,41.76673,47.15284,50.63304,
UGA,52.38955,50.08651,51.73179,49.04733,49.56387,49.92589,49.28122,48.576,47.77601,48.80484,45.59109,,42.9168,42.72062,42.65911,,
UKR,19.11184,18.59754,18.70376,17.12453,16.33813,15.81651,15.58278,15.65789,15.83346,16.08657,16.48785,,12.38447,12.75838,12.99453,12.98011,
URY,20.82538,20.53409,20.15194,19.64452,15.50977,15.00998,13.98624,13.79403,,,11.9642,11.46753,11.76053,11.13129,11.0193,,
USA,,,,,,,,,,,,14.53749,14.45723,,14.19857,,
UZB,21.09375,20.14552,19.94866,19.38332,18.24208,17.60546,17.11574,17.76213,15.6244,14.97123,15.64401,18.12079,19.03192,20.42443,21.15014,21.50664,
VCT,17.55796,17.22593,,,17.07181,16.95633,16.96132,16.27396,,15.748,15.29101,15.68575,14.89632,14.51432,14.39337,14.39258,
VGB,13.83085,13.91133,14.93814,15.06701,14.15814,,13.48276,13.22727,11.93156,,,11.74552,11.74126,10.53822,11.61672,,
VNM,24.65381,23.02694,21.55565,20.6947,20.43643,19.92674,19.5222,19.90175,19.63155,19.39912,18.88349,19.21383,19.2242,19.62995,19.64643,20.27696,
VUT,21.71334,20.01027,,,23.7544,,,21.66442,,,22.82076,,26.56507,,,,
WSM,,,,,32.81848,,31.69124,30.23604,,,,,,,,,
YEM,,,,,,,,30.81078,30.25279,30.25279,,,,26.93016,,,
ZAF,35.37191,35.54274,31.39262,33.04696,33.19107,32.71282,33.57812,29.51018,32.59666,32.93793,32.02921,32.76808,30.3322,,,,
ZMB,,53.54891,56.47904,57.00626,55.35345,54.17641,,52.98507,55.86195,49.22433,,41.0469,42.74181,43.31661,42.05996,,
ZWE,38.55591,,,,,,,,,35.86109,36.4082,,,,,,
