country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MYS,,63.42829,,43.59979,,68.47773,71.62384,130.30401,158.76921,162.84503,,212.16407,132.35787,263.25211,,233.44304
NAM,,,,,,,,,,,,66.11176,,,,
NER,9.09236,10.13263,10.05544,,,,,,,,8.50614,,,,,
NGA,,,,,12.57961,,,,,,,,,,,
NLD,1374.48721,1443.89619,1421.44409,1326.81699,1252.16163,1171.10564,1132.4779,1326.38675,2037.68782,,,,,,,
NZL,816.74382,,773.81507,,885.8869,,948.34152,,1018.40415,,995.90241,,1040.19216,,1276.04352,
OMN,,,,,,,,,117.08624,55.38262,52.57641,42.59472,52.38312,23.02634,42.82321,32.77024
PAK,,,40.36705,,66.22445,,62.62904,,56.20154,,68.38306,,67.44324,,31.79799,
PAN,,,,102.3096,113.79183,107.2179,,,45.59578,92.82278,155.13234,,,,,
PHL,11.29413,,10.39081,,10.78234,,12.07842,,12.51378,,27.96123,,17.53814,,,
PNG,,,,,,,,,,,,,,10.7595,,
POL,283.05109,261.56551,233.18335,225.83038,225.03648,190.05503,188.4782,285.38123,359.77122,420.56352,384.66597,438.51201,443.60217,399.7713,415.27482,
PRI,,,,,,,,,,,168.67122,,156.14289,,,
PRT,305.78415,291.64541,277.71646,341.95866,405.93805,472.62025,447.2168,377.88959,339.87803,338.20975,742.2652,709.20276,752.77583,701.04212,780.06385,
PRY,,,,,,,,,12.47242,,,,,77.52565,40.24138,46.29053
PSE,,,,,24.22494,26.70692,,71.75209,,,178.0999,,,,,
QAT,,,,,,,,,,179.62518,,,390.4962,,,397.09787
ROU,250.17947,256.04919,233.36285,211.73285,207.32912,221.80063,193.38123,153.3324,252.35144,251.8852,248.00355,225.09562,267.40041,275.35469,278.82409,
RUS,556.76308,552.19076,516.82262,517.945,511.3348,486.88029,474.11193,474.22877,490.53247,475.24238,483.31047,496.61687,483.64295,460.89708,451.2263,437.83869
RWA,,,,,,0.12599,0.24533,,,,5.34614,,,5.70666,,
SEN,,,,,,51.62977,,34.7606,,,,,36.90376,,,
SGP,414.87204,487.27226,556.68876,544.4502,517.64611,596.68906,548.63333,456.33434,458.36186,456.30784,454.33141,450.68559,449.98133,422.28167,377.36817,
SLV,,,,,,,,,,,,,,14.0022,12.52323,21.64857
SRB,,,,,299.17832,300.02984,392.06605,334.8388,299.97302,312.4554,324.7486,350.75375,420.25773,430.94926,410.84382,412.03292
SVK,459.82895,444.9585,415.78355,422.97431,414.52633,392.08271,348.11086,386.19291,355.02355,383.90445,329.36012,366.54489,389.22947,412.14273,484.0612,520.62951
SVN,1147.46396,1167.20647,1413.55084,1475.20762,1535.19823,1689.52652,1853.66928,1922.34565,2459.43157,2313.12411,2522.8902,2392.27507,2399.57628,2373.91585,1814.20289,
SWE,,,,,1947.95578,,2113.79965,,2027.52593,,,,,,,
SWZ,,,,,,,,,,,,,36.04929,,,
SYC,,,597.87023,,,,,,,,,,,,,
SYR,,,,,,,,,,,,,67.95423,,,
TCD,,,,,,,,,,,,,,8.30675,,
TGO,17.44631,16.64299,22.45333,16.31129,17.5665,,,8.4713,8.58103,8.23023,,9.00813,10.419,2.43011,2.35112,3.61765
THA,203.54806,,160.81646,,142.95413,,224.86482,,167.55436,,,191.26592,240.69152,319.77065,296.93767,
TTO,,,,,,,,,,,,,,,278.16733,268.37564
TUN,,,,,,,47.31279,46.91947,49.99125,50.98183,61.44463,58.75334,63.50655,63.42918,,61.73693
TUR,46.78511,49.86213,69.9943,83.25706,106.63505,108.09362,123.01399,143.12489,172.25079,190.02195,197.97172,208.25998,220.52787,316.20535,353.73836,
TZA,,,,,,,,10.64796,,,6.20133,,,,,
UGA,,,,,,,,13.81207,,,,10.79338,,,,
UKR,,,,354.15624,324.48099,303.609,286.31565,285.04486,262.53926,238.08567,216.64945,190.82925,186.69699,178.1109,159.55476,150.13703
UZB,86.33311,83.51993,83.47274,79.24169,82.33868,62.65614,64.56333,66.62947,58.46014,61.08781,57.26192,58.50185,59.32836,62.3375,45.68241,48.0659
VNM,,,,,,,,,,,70.99522,,65.57177,,71.49,
ZAF,110.06183,109.44225,109.61099,130.57869,123.38131,120.9816,114.74907,105.62145,107.04727,124.58771,128.6247,141.7438,138.81214,134.55643,129.50941,
ZMB,,,,,,64.521,,,,,,,,,,
ZWE,,,,,,,,,,10.7433,,,,,,
