country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NOR,31.71205,29.40803,28.10482,25.36861,25.6322,24.61355,28.30466,26.76168,25.75067,,24.491,24.28563,26.35316,26.78578,,
NPL,9.32593,,,,,10.52313,12.27842,11.05385,11.58327,10.77751,9.68304,11.22859,10.45324,,,
NZL,,,,,,,,,,,21.67271,21.18582,20.84411,21.11448,,
OMN,,,12.25054,,,,15.0388,,17.59157,,20.53883,,,34.97368,36.02522,
PAK,,,,,,,,,,,10.87309,13.9479,16.02248,,,
PAN,,11.95733,,,14.48871,,,,9.18672,,,,,,,
PER,10.38448,10.60857,10.05427,10.42083,10.21761,10.45471,11.37876,10.64755,9.16381,10.52528,10.23723,12.77849,13.8863,13.93289,15.06599,14.64931
PHL,9.83623,8.84724,8.90511,,8.8309,9.19364,,,,,,,,,,
POL,19.68689,21.37206,22.0079,22.87955,21.77817,22.70049,23.74239,24.09019,23.31435,22.38784,22.88532,22.73332,22.34623,22.56102,,
PRI,,,,,,,,,,,20.60727,20.17815,,,,
PRT,29.5211,32.70983,32.41884,31.53999,30.14913,30.21151,37.1795,34.8872,32.56221,27.56725,30.61593,29.07866,27.69333,,,
PRY,10.62564,9.31517,,,10.91447,,,11.16064,12.62,12.3136,,,,11.92418,,
QAT,,,,,,,10.85565,,,,,,,,,
ROU,13.8321,14.68813,15.81047,8.85216,15.6459,15.58671,15.63875,13.88837,11.84421,12.52425,13.97064,16.27173,16.19413,15.1606,,
RWA,,,,,29.26114,30.79338,,34.49434,36.07236,32.57273,37.42272,,31.21191,37.14513,,21.67381
SAU,,,,,17.60221,,,,,,,,,,,
SEN,,,24.85249,24.26211,,19.78577,,25.26933,21.36241,18.64888,20.89553,24.6833,20.54068,11.42773,,11.4156
SGP,,,,,,13.99204,15.6371,16.53481,,,,,,,21.63771,
SLE,,,,,,,,,13.05762,11.5789,8.67264,,,5.51217,14.26684,
SLV,10.10743,,10.67232,9.24382,11.08977,11.17529,14.84428,13.05389,,11.63169,11.50642,11.86216,13.09878,15.0163,15.53204,15.0804
SMR,,,,,,,,12.21286,11.39374,,,,,,,
SRB,,,,,12.24961,12.73452,12.82325,12.42232,12.3174,,,,11.11718,,,
SSD,,,,,,,,,6.97597,,,,,11.94795,,
STP,,,,,,,,,,18.0547,19.08887,8.55706,,,,
SVK,17.10819,16.50568,14.92814,14.46808,14.3347,14.65799,17.8898,18.94678,17.98288,18.4171,20.10297,20.95832,21.11401,20.08462,,
SVN,24.32286,,,,,,,30.54208,30.79892,29.50126,25.82525,25.09888,23.9989,23.0407,,
SWE,24.34073,31.60848,30.73941,29.90281,29.01087,29.16087,31.16577,30.18899,31.04577,24.67428,24.79329,24.47355,23.58743,23.75742,,
SWZ,38.87277,24.87863,34.32874,30.00381,,27.92324,,27.64316,30.2759,,,28.22603,,,,
SYC,15.80616,,,,,,,,7.16711,9.38732,12.4966,16.57061,,15.29976,,
SYR,,,,,13.61996,,15.06868,,,14.24563,,,,,,
TCA,26.04556,,21.90039,,,,,,,,,,23.00828,,,18.42415
TCD,,25.08256,24.75466,,,,17.95653,15.08423,21.36509,12.76379,17.73265,,,,,
TGO,,,,,16.90265,,,,15.26261,,,,,,,
THA,,14.77554,,,,7.03937,8.44554,14.0318,14.22716,18.40935,17.99841,,,,,
TLS,,,,,,,,,1.4407,2.54014,4.35806,7.92381,,,,
TON,8.78997,7.45081,,,,,,,,,,,,,,
TUN,23.75261,21.22075,21.87577,,,24.55746,,,,,,,52.39924,,,
TUR,,,,,,,,,,11.75159,11.77253,11.23364,11.56828,13.5129,,
TZA,,,,,,,,11.78248,,,,14.94763,,,,
UKR,,,,,,,,,27.50638,30.285,30.44893,25.91332,,25.63448,30.26498,
URY,6.49528,8.44965,9.90775,10.66985,,,,,14.6766,,,,,15.93141,16.15909,
USA,,,,,,,,24.28969,23.89396,22.76782,22.58939,22.36455,21.68055,22.1348,,
VCT,,,22.37694,,17.40456,,21.6279,17.47394,18.66055,,21.59453,21.91968,21.10035,20.37058,19.96642,20.13922
VEN,,,,8.24842,7.96071,,16.28547,,,,,,14.79092,,,
VGB,,12.68272,11.67684,16.14467,15.51244,,17.97091,17.77082,,,,,14.06042,,10.85147,
VUT,,,,,,,,,,,,,21.02094,,,
WSM,,,,,,,,,,,,,,13.02062,,
YEM,,,,,,,,,11.76636,,,,,,,
ZAF,18.19248,18.97489,16.98142,16.21459,16.95974,15.44291,17.27179,19.37539,21.43582,21.079,,,19.08402,,19.5657,21.375
ZWE,,,,,,,,,,22.16475,22.24428,,,,,
