country_code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
KWT,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,49.0
LAO,135.0,135.0,135.0,135.0,135.0,135.0,105.0,105.0,105.0,105.0,87.0
LBN,68.0,68.0,68.0,68.0,68.0,68.0,89.0,89.0,89.0,89.0,89.0
LBR,602.0,602.0,602.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
LBY,,,,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
LCA,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
LIE,,,,,,,,,,52.0,52.0
LKA,126.0,126.0,126.0,126.0,104.0,104.0,100.0,100.0,100.0,100.0,100.0
LSO,140.0,140.0,140.0,125.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
LTU,148.0,148.0,146.0,146.0,146.0,135.0,95.0,85.0,85.0,85.0,82.0
LUX,120.0,120.0,120.0,120.0,120.0,56.0,56.0,56.0,56.0,56.0,56.0
LVA,159.0,159.0,108.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
MAR,62.0,62.0,62.0,62.0,62.0,62.0,49.0,49.0,49.0,44.0,31.0
MDA,120.0,113.0,113.0,113.0,113.0,113.0,113.0,87.0,87.0,87.0,87.0
MDG,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
MDV,101.0,101.0,101.0,108.0,108.0,91.0,91.0,91.0,75.0,75.0,75.0
MEX,,,,,107.93,107.93,107.93,100.44,100.44,100.44,100.44
MHL,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
MKD,141.0,141.0,141.0,141.0,101.0,101.0,97.0,97.0,97.0,97.0,97.0
MLI,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
MLT,,,135.0,135.0,135.0,105.0,105.0,105.0,105.0,105.0,105.0
MMR,,,,98.0,98.0,98.0,77.0,77.0,77.0,77.0,70.0
MNE,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,131.0,131.0,131.0
MNG,126.0,126.0,126.0,101.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
MOZ,47.0,47.0,77.0,77.0,77.0,77.0,77.0,77.0,54.0,40.0,40.0
MRT,75.0,75.0,75.0,75.0,75.0,75.0,70.0,67.0,67.0,67.0,67.0
MUS,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,67.0,67.0,67.0
MWI,222.0,222.0,222.0,222.0,222.0,172.0,127.0,127.0,127.0,127.0,127.0
MYS,45.0,45.0,45.0,45.0,31.0,31.0,31.0,31.0,31.0,24.0,24.0
NAM,54.0,54.0,54.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
NER,165.0,120.0,120.0,115.0,115.0,115.0,115.0,115.0,97.0,68.0,52.0
NGA,,,,,149.44,149.44,149.44,149.44,149.44,115.33,109.8
NIC,70.0,70.0,70.0,70.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
NLD,110.0,110.0,110.0,110.0,110.0,110.0,102.0,102.0,102.0,102.0,102.0
NOR,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
NPL,74.0,74.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,49.0
NZL,69.0,69.0,69.0,69.0,64.0,64.0,58.0,58.0,58.0,58.0,58.0
OMN,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,35.0,30.0
PAK,,,,,180.7,180.7,161.2,161.85,161.85,161.85,112.65
PAN,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
PER,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
PHL,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,37.0,37.0,37.0
PLW,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
PNG,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
POL,163.0,163.0,163.0,163.0,154.0,154.0,133.0,122.0,122.0,122.0,113.0
PRI,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
PRT,83.0,83.0,83.0,83.0,83.0,71.0,71.0,65.0,65.0,65.0,65.0
PRY,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
PSE,64.0,64.0,64.0,64.0,64.0,64.0,64.0,47.0,47.0,47.0,47.0
QAT,90.0,90.0,90.0,90.0,90.0,90.0,67.0,67.0,67.0,67.0,44.0
ROU,209.0,209.0,204.0,213.0,213.0,174.0,174.0,174.0,174.0,174.0,174.0
RUS,,,,,175.2,175.2,160.5,83.0,83.0,73.0,40.7
RWA,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,30.0,30.0
SAU,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,35.0
SDN,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
SEN,125.0,125.0,125.0,125.0,114.0,114.0,81.0,75.0,75.0,75.0,68.0
SGP,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,26.0
SLB,160.0,160.0,160.0,160.0,160.0,53.0,53.0,53.0,53.0,53.0,53.0
SLE,489.0,113.0,113.0,113.0,113.0,82.0,82.0,82.0,82.0,82.0,82.0
SLV,62.0,62.0,62.0,62.0,62.0,62.0,56.0,56.0,56.0,56.0,65.0
SMR,,,,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
SRB,131.0,131.0,131.0,131.0,131.0,131.0,131.0,125.0,125.0,125.0,125.0
SSD,,,,468.0,468.0,468.0,,,,,
STP,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
SUR,128.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
SVK,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
SVN,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
SWE,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
SWZ,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,125.0
SYC,147.0,147.0,147.0,147.0,137.0,137.0,137.0,52.0,52.0,52.0,52.0
SYR,71.0,71.0,71.0,71.0,71.0,71.0,71.0,146.0,146.0,146.0,146.0
TCD,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
TGO,89.0,89.0,89.0,89.0,89.0,89.0,66.0,66.0,66.0,66.0,66.0
THA,37.0,37.0,37.0,37.0,37.0,37.0,37.0,32.0,32.0,30.0,30.0
TJK,165.0,165.0,165.0,150.0,150.0,105.0,105.0,105.0,105.0,105.0,98.0
TLS,39.0,39.0,63.0,63.0,63.0,63.0,63.0,93.0,93.0,93.0,93.0
TON,50.0,50.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
TTO,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
TUN,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
TUR,63.0,63.0,63.0,63.0,62.0,62.0,55.0,55.0,55.0,55.0,34.0
TZA,382.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,105.0,105.0
UGA,150.0,90.0,132.0,132.0,132.0,132.0,86.0,66.0,66.0,66.0,66.0
UKR,288.0,288.0,288.0,288.0,263.0,263.0,263.0,281.0,281.0,281.0,267.0
URY,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
USA,,,,,89.6,89.6,89.6,89.6,89.6,89.6,89.6
UZB,98.0,98.0,98.0,89.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0
VCT,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
VEN,158.0,158.0,158.0,158.0,158.0,178.0,178.0,208.0,208.0,208.0,208.0
VNM,115.0,115.0,115.0,115.0,115.0,115.0,49.0,46.0,46.0,31.0,31.0
VUT,255.0,255.0,255.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
WSM,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
YEM,35.0,35.0,35.0,110.0,110.0,110.0,,,,,
ZAF,214.0,214.0,226.0,226.0,226.0,226.0,84.0,109.0,109.0,109.0,109.0
ZMB,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
ZWE,125.0,125.0,125.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
