country_code,2006,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MEX,29.2,38.7,,,,,,,,,,,,,8.4
MKD,,,,,18.7,,,,,,20.1,,,,18.8
MLI,,,,,,,,17.0,,,,,,,
MLT,,,,,,,,,,,24.7,,,,
MMR,,,,,,4.7,,2.4,,,,,,,
MNE,,,,,19.9,,,,,,4.2,,,,16.5
MNG,,,,,17.6,,,,,,28.4,,,,
MOZ,,,,,,,,,,20.4,,,,,
MRT,,,,,,27.9,,,,,,,,,
MUS,,,,,,,,,,,,,,,26.7
MWI,,,,,,23.8,,,,,,,,,
MYS,,,,,,,25.3,,,,10.1,,,,
NAM,,,,,,57.1,,,,,,,,,
NER,,,,,,,,,15.6,,,,,,
NGA,,,,,,19.6,,,,,,,,,
NIC,27.3,49.6,,,,,,29.5,,,,,,,
NLD,,,,,,,,,,,,43.0,,,
NPL,,,,,22.5,,,,,,,,,,2.9
NZL,,,,,,,,,,,,,,,33.9
PAK,,,,,26.7,,,,,,,,,2.3,
PAN,38.9,8.4,,,,,,,,,,,,,
PER,53.6,68.2,,,,,,,30.0,,,,,,27.6
PHL,,,,,,,26.3,,,,,,,,16.8
PNG,,,,,,,23.4,,,,,,,,
POL,,,,,13.3,,,,,,5.6,,,,
PRT,,,,,,,,,,,6.8,,,,16.3
PRY,47.6,64.3,,,,,,,20.3,,,,,,27.2
PSE,,,,,24.1,,,,,,10.9,,,,20.4
ROU,,,,,18.3,,,,,,9.2,,,,7.6
RUS,,,,19.3,,,,,,,15.7,,,,
RWA,,,31.2,,,,,,,,13.7,,,,13.7
SAU,,,,,,,,,,,,,,7.8,
SDN,,,,,,28.0,,,,,,,,,
SEN,,,,,,18.5,,,,,,,,,
SGP,,,,,,,,,,,,,,,12.2
SLB,,,,,,,24.1,,,,,,,,
SLE,,,,,,,,,17.4,,,,,,22.5
SLV,50.6,46.6,,,,,,9.4,,,,,,,13.9
SRB,,,,,22.1,,,,,,18.7,,,,
SSD,,,,,,32.3,,,,,,,,,
SUR,,2.6,,,,,,,,32.0,,,,,
SVK,,,,,16.4,,,,,,13.7,,,,10.9
SVN,,,,,26.9,,,,,,39.4,,,,
SWE,,,,,,35.5,,,,,,31.4,,,
SWZ,,,,,,,,24.1,,,,,,,
SYC,,,,,,,,,,,,,,,6.2
TCD,,,,,,,,,,24.0,,,,,19.7
TGO,,,,,,,,24.0,,,,,,,6.8
THA,,,,,,,,2.9,,,,,,,
TJK,,,,,6.4,,,,,,6.3,,,,
TLS,,,,,,,21.4,,,,,,9.7,,
TTO,,20.9,,,,,,,,,,,,,
TUN,,,,,22.8,,,,,,,11.1,,,
TUR,,,,,13.0,,,,,,11.2,,,,
TZA,,,,,21.2,,,,,,,,,,7.3
UGA,,,,,53.4,,,,,,,,,,
UKR,,,,,6.2,,,,,,13.1,,,,
URY,42.7,55.5,,,,,,,18.2,,,,,,
UZB,,,,,0.2,,,,,,9.6,,,,
VCT,,44.4,,,,,,,,,,,,,
VEN,,41.5,,,,,,,,,,,,,
VNM,,,,,,,25.5,,,,,,,,5.1
VUT,,,,,,,,,,,,,,,7.7
WSM,,,,,,,,,,,,,,,17.7
YEM,,,,,27.0,,,,,,,,,,
ZAF,,,,,,,,,,,,16.8,,,
ZMB,,,,,32.2,,,,,,18.9,,,,
ZWE,,,54.2,,,,,18.7,,,,,,,
