country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GNB,,,,,,,,13.92539,,,,,,,,,
GNQ,,,25.53996,,,23.30039,22.9723,21.36093,20.3453,19.10968,,,19.56837,,,,
GRC,0.0,0.0,0.66559,0.67335,0.76224,,,0.79584,0.87976,0.87386,0.82904,0.78906,0.72626,0.57883,0.71273,,
GRD,3.29986,4.60138,4.41451,,2.98253,3.70728,3.59539,4.43842,,,0.93099,,,,3.8266,3.14649,
GTM,,13.97504,13.32431,12.9581,13.19809,13.48006,11.62155,12.73299,11.7249,13.32618,11.48656,10.29262,10.81062,6.94989,10.67669,10.17959,
GUY,1.73981,,1.08475,1.50003,1.65715,0.83766,0.97658,0.64911,,,,,,,,,
HKG,0.99634,1.01142,1.0348,1.02307,1.04771,1.07975,0.98021,0.9404,0.85308,0.82519,0.67297,0.55091,0.516,0.52079,0.44289,0.43317,
HND,9.33997,9.4455,10.01273,8.27194,7.07505,6.02935,2.86501,0.90377,5.32411,5.55392,4.84941,1.91219,,1.44294,2.54307,,
HRV,0.4218,,0.29908,0.35393,0.33522,0.30709,0.2191,0.33625,0.33802,0.297,0.22136,0.20179,0.20159,0.20669,0.12214,,
HUN,2.91427,2.58929,2.53877,2.20739,2.25555,2.0142,2.3795,2.07902,2.09191,2.22634,2.17043,2.03963,1.96712,1.97213,1.29338,,
IDN,3.77519,2.88632,4.91302,4.45581,3.95185,3.58357,4.33093,3.88661,2.81038,3.07963,2.18441,2.37336,2.09589,2.20074,1.81293,1.64682,
IND,3.57742,,,,3.53917,3.56029,,,5.07535,2.67064,2.15879,1.32166,0.76807,0.54082,0.57514,0.61025,
IRL,1.20204,1.06441,0.90022,0.80955,0.75143,0.7585,0.7042,0.72332,0.66837,,0.5575,0.44772,0.46324,0.36022,0.48716,,
IRN,3.76698,3.05377,2.94573,2.97144,2.82108,2.66203,2.07441,1.97005,1.81826,1.75904,1.2752,1.47456,1.58079,1.60021,1.63137,,
IRQ,,9.12324,,,18.80703,,,,,,,,,,,,
ISL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
ISR,1.82208,1.68464,1.86977,1.42815,1.52151,1.61481,1.48275,1.70302,1.65399,1.88098,2.04492,1.84217,1.38233,1.36226,1.0639,,
ITA,0.34673,0.36588,0.29318,0.26856,0.30333,0.33539,0.38045,0.4014,0.40046,0.36666,0.35296,0.42575,0.42593,0.4251,0.38995,,
JAM,,3.29779,3.29456,,3.48806,3.4441,4.0691,3.37701,3.44567,3.45622,3.71446,3.97047,4.02761,3.656,3.44381,3.28863,
JOR,0.47622,0.96678,0.85516,1.10618,1.06849,0.5708,,,0.4447,0.68955,0.56415,0.51552,,1.7241,1.45599,1.22564,
JPN,,,,,,,,,,,,,0.0,,,,
KAZ,0.19272,0.15831,0.15141,0.12477,0.11088,0.09356,0.09265,0.07434,0.07516,0.07266,0.05524,0.05387,0.05493,0.05246,0.04406,0.05529,0.04642
KEN,,6.03032,6.01792,,,,,,,,,5.48284,3.64877,3.17867,,,
KGZ,0.19025,0.12481,0.12447,0.13954,0.09627,0.12211,0.09623,0.07194,0.07837,0.06541,0.04237,0.03819,0.04159,0.02824,0.03391,0.02401,
KHM,10.82074,11.59196,15.1284,13.82685,12.79571,12.25461,11.23434,9.84425,7.93575,6.55912,5.67118,6.09101,6.02726,7.86875,7.78018,7.68737,
KIR,,,,,,,,,,,,2.19834,,2.06465,,,
KNA,,,,,2.62821,2.15451,3.24103,2.18009,2.86094,1.29781,1.68519,1.79727,2.62295,2.06223,,,
KOR,0.0,0.00403,0.00193,0.00247,0.00293,0.00255,0.00209,0.00376,0.00226,0.00324,0.00461,0.0038,0.00362,0.00354,0.00412,,
KWT,2.75809,2.28482,2.19311,,1.10827,,,0.78196,0.86325,0.64026,0.64622,,,0.83332,0.57167,0.57254,
LAO,20.96988,21.06325,20.2989,19.34092,17.98058,17.87755,16.91928,15.16967,13.4827,11.70235,10.00627,7.68162,6.68973,5.6728,4.91441,4.88101,
LBN,11.38111,12.25379,11.65913,11.1172,10.56719,10.20228,10.55954,9.36331,10.62598,9.58514,9.32979,9.49169,8.96297,8.63672,8.30674,7.55592,
LBR,,,,6.42214,,6.47698,5.21512,,6.17277,,,5.63348,6.00221,,6.62714,,
LCA,3.44339,2.57493,2.92953,2.6035,3.33274,3.13468,3.19759,2.97924,3.0385,2.83901,3.42945,2.67056,,3.19564,3.96573,3.6009,
LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.68475,3.27198,4.30528,2.87356,,
LKA,0.935,,0.8644,1.07083,0.96479,0.98611,1.00689,0.83506,0.80605,0.89801,0.87838,0.90754,0.98264,0.91981,1.02578,,
LSO,24.60535,20.70385,24.03248,24.2711,24.25361,24.39301,22.86177,23.37049,21.36853,19.46944,15.76868,9.92412,9.57549,10.74345,,,
LTU,0.78765,0.80513,0.92521,0.76538,0.76427,0.81713,0.77399,0.67766,0.62716,0.64761,0.63402,0.66353,0.50201,0.49134,0.59925,,
LUX,,4.81636,4.91136,4.78004,4.6429,4.01913,,0.0,0.0,0.0,3.40245,3.91457,4.3707,4.29569,3.92484,,
LVA,2.46754,3.72931,4.09573,3.83004,4.42376,4.59152,3.47177,2.65247,2.83706,1.99435,1.26941,0.93539,0.95135,0.97412,0.90696,,
MAC,8.90285,7.50906,7.84727,6.97624,7.38919,7.71138,7.94067,6.8677,6.65754,5.52178,4.52036,4.19963,3.13958,2.98475,2.67127,2.0788,
MAR,15.57943,15.17231,14.74599,14.56447,13.7319,13.89511,13.42522,12.56767,9.93971,8.75349,11.07496,11.39655,11.35098,11.8133,12.8233,12.42789,
MCO,,,,,,,0.0,,,,1.14286,2.71186,,0.4008,0.19627,1.51057,1.39581
MDA,0.41073,0.38767,0.3383,0.24094,0.18509,0.08031,0.10503,0.0,0.0,,,,0.0,0.0,0.0,0.0,
MDG,30.29979,30.90886,18.789,20.39079,19.83807,20.57164,21.26283,20.997,20.54774,21.68028,23.28191,22.12925,22.07915,22.54311,,27.29671,
MDV,,,5.84321,5.50497,,5.3615,3.91692,4.13069,4.20956,3.9415,3.59562,2.7142,1.67503,0.2775,0.06031,,
MEX,6.0835,5.79681,5.60952,5.12984,4.66595,4.40039,4.42757,4.20261,3.83283,3.54741,2.53172,1.01362,0.97792,1.09085,1.06084,,
MHL,,,,,,,,,,,,,,4.2836,,,
MKD,0.23448,0.19822,0.19841,0.13042,0.12636,0.03201,0.23905,0.16971,,0.0018,0.0,0.0,0.0,,0.0,,
MLI,19.59352,18.66161,18.35717,16.69607,16.69173,14.05745,13.16982,12.8371,12.8369,19.3928,,20.27465,19.65404,21.36881,19.94606,,
MLT,2.64373,2.41855,2.92189,2.07815,1.98782,1.93849,1.3654,0.89391,0.07335,0.2068,0.16493,0.41457,0.27844,0.21729,0.25455,,
MMR,0.69663,0.55055,0.58487,0.61306,0.71935,0.44716,0.35388,0.25488,,,,,,,,,
MNE,,,,,,,,,0.08931,0.1108,,,0.30983,0.69559,0.50254,0.31877,
MNG,0.69503,0.65516,0.46114,0.34602,0.53055,0.20471,0.10979,0.06009,0.12307,0.11795,0.07079,0.05731,0.08274,0.32777,0.10808,0.07087,
MOZ,,20.63163,10.56128,5.50504,6.14491,5.73523,7.27104,7.72764,7.94931,7.84802,7.20971,6.75936,6.51336,9.95477,9.77687,9.09961,
MRT,,,9.94194,10.08871,3.43623,,2.63055,3.36125,,3.63468,3.19628,3.35058,3.11859,,2.42089,1.6117,
MUS,5.0256,5.60146,5.43289,5.21342,4.38812,4.63315,4.27871,4.10578,4.24712,4.27894,1.89561,1.11174,1.14454,1.01113,0.79836,0.01331,
MWI,,18.39943,20.57393,21.1428,21.09799,20.51505,19.04436,19.21276,19.90473,19.87349,19.26343,19.76264,,,,,
NAM,14.62982,17.52597,17.36215,18.64434,,21.78634,18.08301,17.95703,,17.28771,17.22669,,,,,18.40463,
NER,7.22005,5.11935,5.21259,4.74281,4.77629,6.51498,4.97856,4.46749,3.6424,3.48425,4.14999,3.7668,3.5241,2.4655,,,
NIC,11.79932,11.7921,11.07155,10.75422,10.23922,12.58374,,9.21171,,,,,,,,,
NPL,21.58389,21.58386,22.89868,20.75116,19.1101,16.77239,14.65634,14.14415,12.12171,11.9134,11.16078,10.33743,10.09952,8.82958,7.71475,,7.85974
NRU,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.21482,,,
OMN,0.66436,,,,,,1.28082,,0.86748,0.88091,3.31427,2.2941,2.39364,2.35184,2.10452,0.0,
PAK,,,3.346,2.38913,5.53807,4.79829,4.51098,4.51783,4.34614,3.51637,2.66267,2.34382,1.63915,2.38131,2.32121,1.90699,
PAN,,6.41234,6.61443,6.60433,6.51921,6.21128,6.01194,6.51117,6.79072,5.52139,5.14617,3.09333,,,3.77791,,
PER,7.82394,7.82639,9.17958,8.96174,8.10521,7.34886,7.00533,6.49046,5.77726,5.09424,5.09426,4.49821,3.41814,3.19539,2.95406,3.00811,
PHL,2.66146,2.77057,2.86836,3.49244,2.96243,2.86046,3.22282,,,,,1.82247,0.85954,0.84606,1.91092,,
PLW,,,,,,,,,,,5.27497,6.40449,,,,,
PNG,0.0,,,,,,,,,,,10.29752,,8.87574,,,
POL,,0.93686,1.07466,1.01302,1.07325,1.52305,1.31823,1.09569,1.17474,1.07388,1.13701,1.08797,0.98141,1.0121,1.25287,,
PRI,,,,,,,,,,,,,2.63065,,,,
PRY,8.53118,7.9407,6.09911,5.79937,4.82976,5.36102,6.00132,5.79558,5.54621,5.51604,,,,3.5361,,,
PSE,1.1994,0.18987,0.71341,,0.58644,0.47301,0.0,0.0,0.57743,0.7224,0.25504,0.25238,0.2201,0.25249,0.07539,0.10034,
QAT,,,3.67225,2.02632,0.94637,0.68049,0.46231,,0.26493,,1.07686,2.43911,1.66609,2.2113,1.96013,,
ROU,3.26467,2.89449,2.66036,2.56901,1.53166,2.0194,1.95265,2.08472,1.9001,1.73598,,,0.98238,1.33091,1.52881,,
RUS,,,,,,,,,,,,0.38244,0.30345,0.27899,0.28954,,
RWA,16.67154,18.74939,,14.57026,,17.59652,15.11147,14.07851,13.86249,12.73833,12.76948,17.59849,19.45491,19.282,17.66425,14.53765,
