country_code,2013,2014,2015,2016,2017,2018,2019
THA,3.0,3.0,3.0,3.0,7.0,7.0,7.0
TJK,1.0,1.0,1.0,1.0,1.0,1.0,11.0
TLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TON,10.0,10.0,10.0,10.0,10.0,10.0,10.0
TTO,6.0,7.0,7.0,7.0,7.0,7.0,7.0
TUN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TUR,2.0,2.0,2.0,2.0,4.0,7.0,7.0
TZA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
UGA,5.0,5.0,5.0,5.0,5.0,5.0,5.0
UKR,8.0,8.0,8.0,8.0,8.0,8.0,8.0
URY,4.0,4.0,4.0,4.0,4.0,4.0,4.0
USA,11.0,11.0,11.0,11.0,11.0,11.0,11.0
UZB,1.0,1.0,6.0,6.0,6.0,6.0,6.0
VCT,5.0,5.0,5.0,5.0,5.0,5.0,5.0
VEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VNM,7.0,7.0,7.0,7.0,8.0,8.0,8.0
VUT,10.0,10.0,10.0,11.0,11.0,11.0,11.0
WSM,5.0,5.0,5.0,5.0,9.0,9.0,9.0
YEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ZMB,7.0,7.0,7.0,7.0,11.0,11.0,11.0
ZWE,5.0,5.0,5.0,5.0,5.0,5.0,6.0
