country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MAC,70.06409,69.70536,69.30647,68.8992,68.66616,68.43152,69.90853,72.4191,74.75342,75.05218,75.33974,76.03664,77.74461,81.70815,84.38217,86.42111,
MAR,,,40.1431,42.48918,45.26555,47.38257,,51.01615,53.84359,56.69899,,,,,63.46699,64.4924,
MDA,80.06647,81.07953,81.78983,81.34888,80.55401,83.49852,79.55915,78.62414,77.74841,77.909,77.19155,76.86421,76.40056,76.59364,77.85475,77.95594,
MDG,,,17.29953,,21.80847,23.29579,24.93753,,29.93668,30.99363,,31.01487,30.28786,30.14792,29.12022,29.84739,
MEX,63.26205,65.15369,66.67768,67.83849,68.93457,69.60395,69.68225,70.08479,70.65515,71.82661,75.56968,77.66257,80.02575,81.22278,81.15596,,
MHL,,,,,49.12115,,,,,,,,55.84084,55.85237,,,
MKD,,,78.93037,,,,,,,,,,,,,,
MLI,,,,,,27.69524,28.78149,30.67392,31.98852,,33.11983,35.01947,31.36945,32.53744,29.34611,29.92706,
MLT,86.26731,87.59445,87.58097,85.29509,,80.24937,,83.80971,,88.90797,87.85101,88.22941,88.88531,89.55552,92.96077,,
MMR,36.09419,40.44941,41.00243,43.17034,43.45929,45.29753,44.79402,45.05213,,,,48.71663,,56.31635,59.62371,64.05857,
MNE,,,,,,,,,,,,,,90.05336,89.33592,89.07485,
MNG,76.57937,80.71236,82.74727,81.88655,,,,,,,,,,,,,
MOZ,,4.13627,7.07607,8.96287,10.58298,12.21686,14.57866,15.97046,17.0661,17.45519,19.89826,20.22234,19.27829,,,,
MRT,,13.08816,14.25672,14.52714,,,,,,22.44263,22.0598,23.70334,24.98002,27.46113,28.18691,30.97658,
MUS,,79.38137,,,,,,,,,,,85.34866,84.30625,84.54626,84.30832,
MWI,,24.15185,23.44309,24.89945,25.15857,27.30239,27.73351,29.12365,30.06088,30.4559,32.74037,33.54261,34.24597,32.95718,,34.23885,
MYS,80.32219,80.88979,76.92736,78.44768,74.47215,74.09303,74.00103,74.33845,74.16752,75.75679,76.2547,74.65151,,73.40114,74.39817,72.21113,
NAM,46.72934,48.01554,49.94275,50.48431,52.04122,,,,,,,,,,,,
NER,6.13784,7.51201,8.52719,,8.86268,9.46457,9.59377,10.86772,11.53509,,,15.15304,16.63379,,20.06691,,
NIC,,41.63398,43.93625,45.4727,,,,48.4211,,,,,,,,,
NLD,88.12664,88.73562,86.907,88.55384,88.54171,88.17683,87.63294,87.8786,89.02126,89.579,,,92.54597,93.17266,93.16439,,
NOR,95.10527,96.11468,96.75623,97.16459,97.46832,96.67695,95.73719,95.29992,94.86901,94.47334,95.00651,95.34711,95.4637,95.6976,95.60786,,
NPL,,,,,44.2879,47.41153,,,,,,,,55.37494,57.51369,,61.87253
NRU,,,,,,,,,,72.50608,,73.66255,,71.80984,,,
NZL,,,,,,,,,,,94.64403,94.71184,95.32172,96.10406,96.86035,,
OMN,73.871,,,,,,89.281,,89.67208,88.88807,90.58011,,93.48381,95.46011,94.0779,96.19256,
PAK,,,,30.50841,32.58288,32.64259,32.51055,,33.37407,34.47115,35.5661,,34.59878,35.80793,35.42111,37.40039,
PAN,,61.62455,61.79277,,,63.30201,63.42638,66.11851,65.56966,,70.40156,69.04856,69.72867,,63.79138,,
PER,,66.03303,67.21536,69.37305,72.88175,74.67779,77.71898,77.70725,78.92787,75.31964,79.99309,79.52639,79.18143,82.80666,85.58522,89.30975,
PHL,57.36658,59.28866,58.87591,59.04377,59.8099,60.34316,61.04577,,,,,66.35664,65.55881,,,,
PNG,,,,,,,,,,,,,,32.38128,,,
POL,92.53334,90.80341,92.97257,92.73418,92.17529,91.26481,90.26224,89.64078,89.01451,89.14576,90.92449,91.52153,92.66846,93.44554,94.08406,,
PRI,,,,,,,,,76.26653,77.38289,79.94335,81.4782,81.32599,75.91911,,,
PRT,80.35618,,82.05246,82.64076,,,,,,,92.51532,92.78381,93.58598,93.94509,94.66479,,
PRY,54.13995,56.20782,57.02914,57.42306,58.11186,59.36683,59.90882,60.94171,62.70972,65.88458,,,,,,,
PSE,80.8798,84.53299,85.61943,86.68269,86.4551,86.2914,85.04096,83.27484,81.3884,81.75054,81.78292,82.22385,83.72251,85.18335,87.20079,87.22641,
QAT,,91.83049,90.04446,84.17814,,,,93.8946,,,,,,,,,
ROU,,,,,,,,,,,,85.2863,84.54438,82.76527,82.84805,,
