country_code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IRQ,0.3,0.9,0.9,1.54077890873295,1.5,1.53132758698647,1.5,1.5,1.5,1.5,1.5
ISL,2.7,2.3,2.3,2.42174669591443,2.5,2.50646684968118,2.7,2.8,2.8,2.9,2.9
ISR,8.6,8.6,8.6,8.58173027677053,8.6,8.58271221861595,10.5,10.5,10.5,10.5,10.5
ITA,11.2,11.3,11.3,13.3464442429884,13.3,13.3653061047713,13.3,14.0,14.5,14.5,14.5
JAM,1.4,1.4,1.4,1.40556650931052,1.4,1.40564285524534,1.4,1.4,1.4,1.6,1.6
JOR,1.5,1.7,1.7,1.76535777731989,1.8,1.80598714296253,3.1,4.5,4.5,4.5,4.5
JPN,1.9,2.1,2.1,2.09183621347664,10.0,10.0262887092871,10.0,10.0,15.2,15.2,15.2
KAZ,3.2,3.2,3.2,3.18942507887438,3.2,3.21716402649566,3.2,11.7,11.7,11.7,11.7
KEN,12.1,10.3,10.3,10.5050213796236,10.5,10.5050828924669,10.5,10.5,10.5,10.3,10.3
KGZ,6.5,6.5,6.5,6.51440059612817,6.7,6.7026929831278,6.7,6.7,6.7,6.7,6.7
KHM,20.9,20.6,20.6,20.6492772839727,20.6,20.649495414341,20.6,31.8,31.8,31.8,31.8
KIR,11.8,11.8,11.8,11.8173045605077,11.8,11.8210466833858,11.8,11.8,11.8,11.8,11.8
KNA,0.3,0.3,0.3,0.246826850964049,0.3,0.250803474209924,4.5,4.5,4.5,4.5,4.5
KOR,2.3,2.6,2.6,3.88526952835922,3.9,3.99024573773508,5.5,5.8,5.9,5.9,5.9
KWT,11.2,11.2,11.2,10.9982704332786,11.0,10.9989577458097,10.7,10.7,10.7,10.7,11.4
LAO,16.7,16.7,16.7,16.6822252710073,16.7,16.6822056274146,16.7,18.7,18.7,18.7,19.0
LBN,0.2,0.9,0.9,1.04234132124352,1.0,1.04272663197996,1.0,1.0,0.8,0.8,0.8
LBR,0.8,0.8,0.8,0.773224088935579,1.2,1.21108630778072,1.2,1.2,1.2,1.2,1.2
LBY,0.1,0.3,0.3,0.288612427087619,0.3,0.28857344034883,0.3,0.2,0.2,0.2,0.2
