country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NIC,,92.62374,92.4662,95.88051,95.63359,96.43234,,94.89265,,,,,,,,,
NLD,98.80214,98.21145,98.11317,98.50395,99.32514,99.59125,99.79754,99.51312,99.22106,98.48654,,,96.42447,97.32553,98.64765,,
NOR,99.85574,99.3522,98.5115,98.59501,99.07673,99.26473,99.15568,99.08012,99.40241,99.68671,99.86067,99.82749,99.77225,99.80598,99.88251,,
NPL,79.86805,80.51963,,,,,,,99.14333,99.71319,,98.79036,98.09886,98.18273,96.33409,,96.2984
NRU,,,,,77.47928,,,,,80.18363,,95.86716,,93.69858,,,
NZL,,,,,,,,,,,97.69366,97.41885,97.66835,98.46686,99.11677,,
OMN,81.82427,,,,,,92.97839,,95.44183,96.42745,94.2199,93.88526,94.06176,95.01142,93.28335,86.25355,
PAK,56.7235,61.68897,63.39651,60.78372,64.82106,64.9296,65.44091,65.98301,63.07016,62.69421,62.13369,65.75982,60.95668,65.41796,64.89623,67.5748,
PAN,,98.0224,97.56968,98.188,98.00928,97.00675,94.08748,95.62248,94.53537,93.93236,93.05661,90.58017,87.28892,,86.23979,,
PER,98.03598,96.721,96.58075,96.4861,96.36325,96.38973,95.95255,96.60304,96.50894,91.85927,93.73238,92.54948,92.73258,95.29,94.91894,95.65167,
PHL,89.90912,89.35752,88.55488,86.79077,87.09612,88.12346,89.88861,,,,,95.36339,95.0759,94.36604,93.7756,,
PLW,,,,,,,,,,,96.7551,94.91704,,,,,
PNG,,,,,,,,,,,,,,73.65048,,,
POL,94.48538,93.68903,93.08055,93.13525,93.21407,93.39226,94.08139,94.57285,94.67055,95.46034,96.00958,96.0052,,,95.78475,,
PRI,,,,,,,,89.70856,82.46105,83.28011,82.82558,82.69371,80.90491,76.27147,,,
PRK,,,,,,,94.02788,,,,,,,,,,
PRT,,,97.96037,97.76736,,,99.19486,99.31374,98.84927,98.94994,98.81486,98.39988,97.45382,96.73726,97.56411,,
PRY,93.86873,93.30224,93.95193,92.30766,90.56343,89.02356,87.97956,87.9171,87.7094,87.19751,,,,,,,
PSE,84.41444,82.16265,79.69969,80.21203,79.59043,83.73253,85.43541,87.00422,87.75251,91.72588,92.37629,93.53142,93.22201,93.8445,95.26274,94.84281,
QAT,96.02781,91.13612,94.99625,88.84162,92.81665,,91.41677,90.21337,93.40615,92.23312,88.63244,89.28562,91.73736,93.02649,93.54716,94.09431,
ROU,94.07476,95.61926,95.07328,93.72721,93.68707,90.02463,90.98564,91.31441,91.10005,89.75932,,,86.27801,84.10588,82.22835,,
RUS,,,,90.00407,90.42511,92.46538,94.06098,,95.35339,96.25961,96.16903,94.3729,95.66588,96.73427,95.09612,,
RWA,85.50278,,,,,,,,,,,,,98.84059,96.9315,94.78978,
SAU,,,,,,,91.37566,97.10889,97.10289,99.75876,97.73502,,97.28258,96.5955,95.18623,94.5456,
SDN,,,,,,,,,58.74802,55.15486,56.05531,56.31639,56.97478,59.17542,60.00534,,
SEN,65.22677,63.67749,64.73078,66.88066,69.34496,70.19467,70.56057,71.57491,72.23795,74.27161,73.18084,73.74412,73.84804,73.53294,75.3821,,
SGP,,,,,,,,,,,,,,99.69504,99.66959,,
SLB,,,75.38095,79.90177,80.5969,,,,,,70.554,70.22557,70.59233,72.40265,69.52108,67.47257,
SLE,,,,,,,,,,94.57197,96.37658,,95.11907,98.11179,,,
SLV,93.11135,,94.36592,94.78403,94.15772,94.4002,94.37584,94.46109,94.08134,93.22315,90.57777,88.23495,85.79246,84.4549,80.23355,80.99537,
SMR,,93.89214,,,,,,,,,,,,,,,
SRB,,,99.70359,99.86248,98.34468,96.99485,94.22315,92.74722,95.70457,94.43076,94.79516,96.24177,96.30226,95.73023,95.17741,94.55098,
SSD,,,,,,,,,43.387,,,,35.20717,,,,
STP,96.50664,96.43171,94.99835,,89.65963,90.25838,90.90328,90.48221,,,88.50731,88.41147,87.94813,,93.0763,,
