country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PHL,47.2,47.6,49.1,47.1,47.1,43.8,44.5,44.5,42.5,42.5,42.9,42.9,42.9,42.9,43.1
PLW,72.5,72.5,72.5,72.5,72.5,72.5,72.5,75.2,75.0,75.4,75.4,75.5,75.5,75.8,76.6
PNG,41.5,41.5,41.5,41.5,42.1,42.1,42.1,42.1,39.3,39.3,39.3,39.3,39.3,39.3,37.1
POL,43.2,43.2,43.4,45.1,42.2,40.6,40.1,40.3,40.1,40.1,40.3,40.4,40.5,40.7,40.8
PRI,57.6,57.6,57.6,60.6,60.6,63.6,63.1,50.4,49.6,66.0,67.0,64.4,64.4,64.4,64.4
PRT,43.8,43.8,42.9,42.5,42.3,42.6,42.6,41.9,42.2,42.3,40.9,39.8,39.8,39.8,39.8
PRY,54.5,44.8,35.1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
PSE,22.5,18.1,16.8,16.5,16.5,16.5,16.5,16.5,16.5,15.3,15.3,15.3,15.3,15.3,15.3
QAT,,,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
ROU,55.8,48.2,45.6,45.4,45.5,44.0,43.5,43.3,43.2,43.2,42.0,40.0,40.0,40.0,20.0
RUS,,,,,,,,,48.7,48.9,47.0,47.4,47.5,46.3,46.2
RWA,41.2,41.2,37.2,37.1,34.7,34.7,34.7,34.5,33.0,33.0,33.0,33.0,33.2,33.2,33.2
SAU,14.9,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.6,14.6,15.0,15.7,15.7,15.7,15.7
SDN,49.7,36.1,36.1,36.1,36.1,36.1,36.1,36.1,45.4,45.4,45.4,45.4,45.4,45.4,45.4
SEN,50.3,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.3,45.1,47.3,45.1,45.1,45.1,44.8
SGP,26.2,22.4,21.8,24.2,24.1,23.4,23.8,18.4,20.1,18.0,18.0,19.1,20.3,20.6,21.0
SLB,26.1,26.1,26.1,26.1,26.1,26.2,26.2,25.3,32.0,32.0,32.0,32.0,32.0,32.0,32.0
SLE,272.0,272.0,235.2,235.2,235.2,235.2,32.4,32.4,31.0,31.0,30.7,30.7,30.7,30.7,30.7
SLV,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,38.8,38.8,38.8,35.5,35.5,35.6,36.4
SMR,,,,,,,,40.1,39.9,39.9,40.3,35.2,35.7,35.7,36.2
SRB,30.9,30.9,30.9,29.2,29.2,31.2,31.2,31.2,31.2,35.6,36.6,36.7,36.7,36.6,36.6
SSD,,,,,,,,26.4,29.2,29.0,29.0,31.4,31.4,31.4,31.4
STP,51.0,51.3,51.3,51.3,51.3,38.8,38.0,38.0,38.0,37.5,37.5,37.0,37.0,37.0,37.0
SUR,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
SVK,50.0,47.6,47.6,47.4,48.4,48.9,48.3,49.2,48.7,49.4,50.4,50.1,50.1,49.7,49.7
SVN,39.2,39.2,38.4,34.9,35.8,33.6,32.9,32.9,31.4,31.0,31.0,31.0,31.0,31.0,31.0
SWE,54.1,54.1,53.8,53.8,53.9,52.1,52.1,52.1,52.1,49.1,49.1,49.1,49.1,49.1,49.1
SWZ,36.6,36.6,36.6,36.6,36.6,36.8,37.6,36.8,36.7,36.9,34.7,35.1,35.2,35.7,35.8
SYC,48.4,48.4,48.4,46.6,44.1,42.0,30.0,23.5,25.5,29.8,30.1,30.1,30.1,30.1,30.1
SYR,43.5,43.5,43.5,40.5,39.9,39.9,39.9,39.9,39.9,42.7,42.7,42.7,42.7,42.7,42.7
TCD,74.0,74.0,74.0,71.3,71.3,75.8,75.8,75.7,72.4,63.5,63.5,63.5,63.5,63.5,63.5
TGO,52.5,52.5,52.6,52.6,52.5,50.3,48.9,48.9,48.9,50.3,48.5,48.5,48.5,48.2,48.2
THA,36.4,35.9,36.4,36.1,35.8,35.8,35.9,36.1,28.7,26.0,26.8,29.6,28.7,29.5,29.5
TJK,79.9,79.9,80.0,83.4,83.8,84.0,84.5,84.5,80.9,81.8,81.8,66.1,66.3,67.3,67.3
TLS,48.9,48.9,48.9,33.1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,17.3
TON,27.5,27.5,27.5,27.5,22.7,23.6,23.6,23.6,27.5,27.5,27.5,27.5,27.5,27.5,27.5
TTO,39.2,39.2,35.0,36.3,36.3,35.0,31.0,31.0,31.5,32.0,32.2,32.0,36.2,39.7,40.5
TUN,61.2,61.2,61.2,59.1,62.8,62.8,62.8,62.8,62.8,62.8,60.2,60.2,64.1,60.2,60.7
TUR,46.1,45.7,44.3,44.0,42.9,42.9,39.7,39.7,39.4,39.8,40.5,40.5,40.4,40.4,42.3
TZA,43.8,43.8,43.9,44.4,44.4,44.4,44.9,44.9,44.3,44.3,43.9,43.9,44.1,44.0,43.8
UGA,36.7,35.0,36.6,35.4,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.7,33.7,33.7,33.7
UKR,57.3,57.0,56.6,57.2,57.2,55.5,57.1,55.4,54.4,52.7,52.2,52.3,37.8,41.7,45.2
URY,71.3,71.3,71.3,43.0,41.9,41.9,41.9,41.9,41.8,41.8,41.8,41.8,41.8,41.8,41.8
USA,,,,,,,,,43.8,43.8,43.9,44.0,43.8,43.8,36.6
UZB,96.7,112.1,90.3,89.8,95.0,95.8,97.7,98.7,93.7,42.1,41.1,38.1,38.3,32.1,31.6
VCT,45.0,45.0,45.0,42.6,41.0,38.7,38.7,38.7,38.6,38.6,39.3,39.3,39.3,39.3,37.0
VEN,50.2,49.8,53.6,55.6,60.4,51.9,62.8,61.5,65.0,65.0,64.7,65.0,70.1,70.1,73.3
VNM,39.9,39.9,39.9,39.9,40.0,33.1,39.9,35.3,40.8,40.8,39.4,39.4,38.1,37.8,37.6
VUT,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5
WSM,19.3,19.3,19.3,18.4,18.4,18.4,18.4,18.4,18.4,18.1,18.1,18.5,19.3,19.3,19.3
YEM,196.7,49.4,49.4,49.3,49.3,49.3,34.5,33.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
ZAF,37.1,36.6,36.1,33.3,30.0,30.2,31.8,32.0,28.7,28.9,28.8,28.8,28.9,29.1,29.2
ZMB,15.4,15.4,15.0,15.0,15.0,14.3,14.4,16.2,15.9,15.5,18.6,18.6,15.6,15.6,15.6
ZWE,30.1,30.2,49.3,66.3,36.1,38.2,33.5,33.4,34.1,31.4,31.6,31.6,31.6,31.6,31.6
