country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MDA,,,,36.31218,38.98779,38.18395,45.30878,37.34812,35.79604,34.9865,,32.93997,,31.4807,30.62616,26.64596
MDG,,,158.34654,160.7926,143.1506,144.03466,146.90817,,95.27281,102.84457,,,0.03371,0.03809,,
MDV,,,,,,,,,,,,31.87037,,,,
MEX,39.40927,36.99457,37.59587,35.53505,37.41202,38.40126,43.14149,40.64967,35.91201,36.31664,36.90735,39.11807,36.45238,29.65754,,
MLI,,,,,,114.27258,116.53614,128.55564,181.3255,114.94054,111.89054,152.13595,165.6316,188.86353,166.91975,
MLT,,25.0676,,,37.47493,42.59991,45.02282,56.31045,39.27497,49.69013,51.35467,47.10169,44.39611,,,
MMR,,,,,,,,,11.55094,,,,,,,16.6916
MNG,,18.30546,,,,,,5.09328,2.85537,16.50433,13.22666,11.30382,7.9848,10.67267,5.18859,
MOZ,,,,253.00431,,,,,,148.65744,165.60055,,,,,
MRT,,,,,,163.09107,,162.81621,87.23176,70.43038,67.48049,,92.77992,95.78092,,
MUS,46.38897,41.516,27.54463,21.11129,,15.15406,15.55413,12.44074,9.25467,8.39031,8.77186,10.81858,11.11475,10.53482,9.57631,
MWI,,,,,,,,1447.392,1317.59933,,,,,,,
MYS,89.3199,68.26787,,57.60349,47.9295,,59.51631,45.47487,58.89758,44.10929,44.12602,,,25.90471,24.78556,23.75401
NAM,95.92954,,,115.26448,,,,,,,,76.01238,,,,
NER,,,,377.21895,568.63951,411.83055,445.77468,451.90547,564.54315,623.27731,,,312.53591,314.50436,275.24802,
NLD,,,,,,,,,,,,,33.0426,35.77867,,
NOR,48.46343,50.3261,48.03716,43.72583,45.65673,45.04542,47.54835,43.44995,41.54993,,40.53579,42.40292,37.31122,39.82164,,
NPL,63.42802,,,,,47.40814,51.51713,33.02038,31.69426,,22.29423,26.74935,24.16269,,,
NZL,,,,,,,,,,,28.08001,26.37621,26.93331,25.25573,,
OMN,,22.0517,13.91475,,,,42.76602,,,,,,,43.55851,,
PAK,,,,,,,,,,,78.58395,54.50023,63.01978,69.92226,67.23956,
PAN,,25.80472,,,,,,,19.50707,18.73802,,,,,,
PER,12.70191,12.66781,9.36281,11.30361,,,,,,,,,,10.37422,10.88362,
PHL,13.7761,12.17696,11.19786,,9.28273,9.71651,10.56665,,,,,,,,,
POL,19.66127,21.2374,21.27606,16.93912,16.4316,18.22712,18.61018,20.43721,20.12839,22.51235,25.41659,26.48911,28.11992,25.41068,,
PRI,,,,,,,,,,,37.02041,33.27516,,,,
PRT,24.84234,22.04932,25.33618,26.77534,32.0895,25.4724,29.20305,30.01118,26.87704,,25.06298,26.89935,26.90651,,,
PRY,22.7239,17.60532,,,17.41706,,,14.26133,,,,,,,,
ROU,23.40972,22.04941,23.43859,22.90097,24.58628,21.8697,20.9931,20.16143,19.57137,22.92328,19.26711,24.87677,24.0546,26.09842,,
RUS,11.43514,10.87134,12.66075,13.21028,,14.32585,,,,15.24804,16.45398,,18.77948,19.82112,,
RWA,,,300.20265,,244.54516,199.86622,,173.51484,116.61996,88.41959,94.92863,,107.95651,,,97.65851
SEN,,,167.27013,161.23154,,128.59092,165.83551,191.35265,144.37938,134.91446,196.56276,165.66626,176.3571,143.13554,,131.01343
SGP,,,,,,22.51476,25.24015,25.23741,23.1426,24.86011,20.95304,,,,23.54145,
SLV,12.43409,,17.51491,16.55859,16.41262,,20.87008,20.41816,,10.50348,11.10141,10.92943,10.84972,10.8018,12.01038,11.12942
SMR,,,,,,,,7.51186,8.72047,,,,,,,
SRB,,,,,33.65057,37.5169,38.4532,40.46815,39.16333,37.68856,,,33.58741,29.57195,29.78442,
STP,,,,,,,,,,135.53961,,41.93097,,,,
SVK,28.17706,31.37897,23.41832,23.86542,18.98153,17.79834,18.18657,18.56976,22.08985,26.93199,31.19209,33.17606,42.08415,27.60007,,
SVN,24.99642,24.43072,21.91823,21.2182,20.71162,20.82911,24.07962,23.85399,25.80786,23.72584,23.84235,23.72155,23.84036,24.3256,,
SWE,42.7137,40.00729,38.13697,36.87251,36.26481,39.06096,42.34718,39.56612,38.42777,42.38743,43.45347,43.82746,43.11866,43.24651,,
SWZ,291.27902,,241.62206,244.14651,,,,,,,,128.19209,,,,
SYC,,,,,,,,,,39.06209,18.43209,8.79479,,70.70674,,
SYR,102.80269,81.98551,,47.50408,43.69093,45.47164,49.40899,,,,,,,,,
TCA,,,,,,,,,,,,,87.56158,,,
TCD,,270.52613,259.03462,,,,162.18236,211.50163,186.65421,,,,,,,
TGO,,,,,137.07093,,,78.65386,71.72394,89.39615,98.98592,111.34646,91.09807,81.64483,77.17135,
THA,,23.98612,23.68337,27.06107,,20.3411,20.63746,16.03965,19.3805,18.2528,18.17357,,,,,
TJK,10.05308,7.19128,11.83002,9.31537,10.10801,18.76263,18.8744,15.52794,13.30391,18.22329,19.117,,19.56957,,,
TLS,,,,,,,15.31905,15.06173,,,,,,,,
TON,,126.53,,,,,,,,,,,,,,
TUN,60.77918,59.33788,48.12954,46.94302,47.55889,45.76097,50.31755,50.64414,,53.35777,57.85019,55.13643,54.74251,,,
TUR,32.14899,28.61458,,25.74749,,,,,,42.71303,41.19523,38.48285,32.269,35.28416,,
TZA,,547.01464,541.49376,,725.67009,,,631.6187,,,,,,,,
UGA,,172.84059,,,,,85.14325,82.72859,74.28615,91.44465,,,,,,
UKR,36.08012,32.4591,32.3289,32.35391,30.54817,32.96606,39.01139,,37.75878,41.36357,43.85232,37.10283,,38.53561,34.46536,
URY,17.08454,18.97252,17.7881,18.58317,,,,,29.16904,,,,,25.19618,25.38864,
USA,,,,,,,,20.83643,20.04063,21.89296,20.41236,21.16585,21.52057,19.42953,,
VEN,,,,,,,20.51275,,,,,,,,,
VGB,,,,,,,,,,,,,40.0368,,,
VNM,,,,,,56.4484,32.24791,32.38883,30.19274,32.57868,34.21589,,,,,
ZAF,,,,,,,,,,,39.20118,38.19787,40.02283,,46.83211,47.9767
ZWE,,,,,,,,47.27895,,166.79841,161.41752,,,,,
